AdjRank,Player,RawMajorWins,RawRank,YearlyShareSum,AdjustedWins,SeasonBreakdown
1,Crimsix,38,1,3.005,26.55,Advanced Warfare:9/16; Black Ops 3:5/10; Infinite Warfare:4/8; Ghosts:7/16; Black Ops 2:7/17; Modern Warfare:4/13; Black Ops 4:1/7; Vanguard:1/7
2,Scump,28,2,2.623,23.17,Advanced Warfare:9/16; Black Ops 3:5/10; Infinite Warfare:4/8; Modern Warfare 3:2/6; Black Ops:2/12; Modern Warfare:2/13; Black Ops 4:1/7; Vanguard:1/7; Ghosts:1/16; Black Ops 2:1/17
3,aBeZy,14,8,2.082,18.39,Black Ops Cold War:4/6; Modern Warfare III:2/6; Black Ops 6:2/6; Black Ops 4:2/7; Modern Warfare II:1/6; Modern Warfare:2/13; Black Ops 7:1/7
4,Simp,14,9,2.082,18.39,Black Ops Cold War:4/6; Modern Warfare III:2/6; Black Ops 6:2/6; Black Ops 4:2/7; Modern Warfare II:1/6; Modern Warfare:2/13; Black Ops 7:1/7
5,Karma,24,3,2.003,17.69,Black Ops 3:5/10; Infinite Warfare:4/8; Ghosts:6/16; Advanced Warfare:4/16; Black Ops 2:4/17; Black Ops 4:1/7
6,FormaL,23,4,1.984,17.53,Advanced Warfare:9/16; Black Ops 3:5/10; Infinite Warfare:4/8; Modern Warfare:2/13; Black Ops 4:1/7; Ghosts:2/16
7,Cellium,11,10,1.654,14.61,Black Ops Cold War:4/6; Modern Warfare III:2/6; Black Ops 6:2/6; Modern Warfare II:1/6; Modern Warfare:2/13
8,Kenny,10,12,1.371,12.11,Modern Warfare III:2/6; World War II:3/10; Black Ops 4:2/7; Vanguard:2/7; Modern Warfare II:1/6
9,Clayster,18,6,1.321,11.67,Black Ops 2:6/17; Modern Warfare:4/13; Black Ops 4:2/7; Advanced Warfare:4/16; Ghosts:2/16
10,BigTymeR,9,20,1.309,11.56,Modern Warfare 3:4/6; Call of Duty 4:1/3; Black Ops:3/12; Black Ops 2:1/17
